,XP_005269747,P0CG48,P0DTC3,P11021,P0DTD8,A0A158RFU6,P00387,P06576,Q08379,XP_011535124
susedi,40,39,33,31,30,26,24,24,21,20
duzina,598,685,275,654,43,207,301,529,1002,1450
ljudski,True,True,False,True,False,True,True,True,True,True
prof_hard,0,0,0,0,0,0,0,0,1,1
prof_soft,0.5,0.625,0.1875,0.4375,0.1875,0.375,0.25,0.4375,0.6875,0.5
prof_ppidr,0.36287625418060204,0.3547445255474452,0.28363636363636363,0.38226299694189597,0.18604651162790697,0.38164251207729466,0.3222591362126246,0.37996219281663524,0.5099800399201597,0.46413793103448275
prof_reg5,4,0,1,1,0,2,1,3,16,15
prof_reg31,0,0,0,0,0,0,0,0,0,0
vlxt_reg5,4,10,2,11,1,3,6,9,14,23
vlxt_reg31,1,0,0,2,0,0,0,2,6,10
vsl2_reg5,9,10,3,6,1,2,6,7,4,6
vsl2_reg31,1,0,0,2,0,1,0,1,3,5
vlxt_mean,0.2269,0.3644,0.2003,0.3872,0.1824,0.205,0.355,0.4518,0.6602,0.5107
vlxt_ppidr,0.17059999999999997,0.3504,0.1636,0.3532,0.13949999999999999,0.1353,0.3322,0.4991,0.7525,0.5841
vsl2_mean,0.384,0.4008,0.247,0.4744,0.2359,0.34,0.3239,0.364,0.8104,0.7287
vsl2_ppidr,0.2793,0.2876,0.13449999999999998,0.4128,0.23260000000000003,0.18359999999999999,0.1528,0.21739999999999998,0.9222,0.8338
ch_val,0.4979,0.4464,0.5305,0.4459,0.661,0.4581,0.48,0.502,0.3982,0.3987
ch_ind,0,0,0,0,0,0,0,0,1,1
sus_stepen,7.775,9.128205128205128,8.878787878787879,13.290322580645162,8.933333333333334,16.346153846153847,15.458333333333334,16.291666666666668,9.0,12.35
sus_duzina,372.35,923.8717948717949,520.5454545454545,579.4516129032259,459.46666666666664,460.11538461538464,430.0833333333333,346.5,646.1428571428571,1284.15
sus_hard,0.05,0.1794871794871795,0.21212121212121213,0.22580645161290322,0.06666666666666667,0.11538461538461539,0.041666666666666664,0.041666666666666664,0.5714285714285714,0.6
sus_ch,0.05,0.1282051282051282,0.12121212121212122,0.1935483870967742,0.06666666666666667,0.11538461538461539,0.041666666666666664,0.125,0.3333333333333333,0.6
sus_prof,0.3330139146404559,0.38016754331670316,0.3661774515132068,0.3832623068041544,0.34287625279380846,0.36739700465483693,0.3762351161958593,0.3614478466845891,0.4243642355953092,0.4267706087758832
sus_vlxt,0.21015250000000002,0.3075025641025641,0.2624969696969696,0.3172774193548387,0.2096666666666667,0.2581,0.25007083333333335,0.21955416666666663,0.38819047619047614,0.480625
sus_vsl2,0.23784,0.381148717948718,0.3467090909090909,0.3854774193548387,0.25533333333333336,0.3138192307692308,0.2885375,0.24084166666666665,0.557,0.6286750000000001
